Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Eastern Region,East Central,s3KGtzqaMyJ,Namayingo District,Banda Subcounty,Busiro Church of God Health Centre III,UPMB LSD,81995,USAID,ufxL5YcJVB3,s3KGtzqaMyJ,Namayingo District,Banda Subcounty,Busiro Church of God Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,401,0,0,2,6,14,7,14,19,48,48,45,30,17,14,7,6,0,0,1,3,1,4,0,5,5,16,30,20,18,7,9,5,0,0,0,0,0,,,1,1,6,0,,,21,4,166,83,,,0,0,83,36
Eastern Region,East Central,x2bKnIqqcFt,Busia District,Busitema Subcounty,Busitema Health Centre III,MJAP East Central,82000,USAID,MgBYfkMDDvf,x2bKnIqqcFt,Busia District,Busitema Subcounty,Busitema Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,366,0,0,5,4,5,4,7,28,38,29,40,23,21,12,8,13,0,1,1,4,8,6,2,4,8,10,17,33,12,10,8,5,0,0,0,0,0,,,2,2,17,7,,,12,12,102,55,,,0,1,104,53
Eastern Region,Mid Eastern,zeEOtz7XwxV,Mbale District,Busiu Town Council,Busiu Health Centre IV,Baylor Eastern Region,82001,USAID,RDOJurt1tky,zeEOtz7XwxV,Mbale District,Busiu Town Council,Busiu Health Centre IV,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,681,0,0,2,8,12,6,26,38,55,72,57,61,52,52,23,23,0,0,4,7,10,2,2,6,12,12,23,40,33,21,13,9,0,0,0,0,0,,,11,17,44,20,,,10,3,318,125,,,1,1,103,28
Eastern Region,Mid Eastern,jBZmte6aqoD,Butaleja District,Busolwe Town Council,Busolwe General Hospital,Baylor Eastern Region,82001,USAID,kEm6b6uMuER,jBZmte6aqoD,Butaleja District,Busolwe Town Council,Busolwe General Hospital,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,1242,0,0,4,8,18,22,31,65,88,115,108,90,88,83,56,40,0,0,1,2,10,8,11,14,18,36,63,72,66,52,44,29,0,0,0,0,0,,,4,3,111,41,,,25,10,453,249,,,1,0,222,123
Eastern Region,East Central,a7iTUfqFKUY,Kamuli District,Southern Division,Busota Health Centre III,MJAP East Central,82000,USAID,yO1OEy6b5wS,a7iTUfqFKUY,Kamuli District,Southern Division,Busota Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,74,0,0,0,0,1,0,7,3,9,9,6,4,3,1,4,2,0,0,2,2,1,0,0,2,5,4,1,3,0,2,2,1,0,0,0,0,0,,,1,2,25,8,,,0,3,21,11,,,0,0,2,1
Eastern Region,East Central,fqWdsy0CuFR,Iganga District,Nakigo Subcounty,Busowobi Health Centre III,MJAP East Central,82000,USAID,L4LPCJf61xH,fqWdsy0CuFR,Iganga District,Nakigo Subcounty,Busowobi Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,166,0,0,1,1,3,3,12,17,20,14,12,17,8,6,7,1,0,0,1,1,2,1,1,1,5,2,4,8,8,5,3,2,0,0,0,0,0,,,2,3,29,6,,,2,0,55,24,,,1,1,33,10
Central Region,Central 1,tBl4WduwWRw,Wakiso District,Bussi Subcounty,Bussi Health Centre III,IDI Masaka Wakiso Region,87029,CDC,LKxskPQJxRK,tBl4WduwWRw,Wakiso District,Bussi Subcounty,Bussi Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,263,0,1,2,2,1,23,28,35,26,20,21,4,2,3,4,1,0,1,4,2,4,2,3,13,13,22,8,4,9,5,0,0,0,0,0,0,0,,,0,3,32,26,,,6,8,122,46,,,0,0,13,7
Central Region,Central 2,acZImyCaeNM,Mityana District,Busunju Town Council,Busunju Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,QU1sn9dbohO,acZImyCaeNM,Mityana District,Busunju Town Council,Busunju Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,143,0,0,0,0,0,2,13,22,24,13,7,7,2,3,1,3,0,0,0,0,1,2,1,6,9,7,9,4,2,1,3,1,0,0,0,0,0,,,0,0,18,6,,,0,1,47,22,,,0,0,32,17
Eastern Region,East Central,ayBh8ous7GK,Namayingo District,Buswale Subcounty,Buswale St. Matia Health Centre III,UPMB LSD,81995,USAID,abMKnXr4aVt,ayBh8ous7GK,Namayingo District,Buswale Subcounty,Buswale St. Matia Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,169,0,0,2,3,1,4,3,15,17,14,19,17,8,6,2,4,0,0,0,6,1,0,1,2,2,8,5,10,8,5,1,5,0,0,0,0,0,,,1,3,8,3,,,4,3,49,16,,,1,1,52,28
Central Region,Central 1,lxS0qhIRkQv,Butambala District,Kibibi Subcounty,Butaaka Health Centre III,IDI Masaka Wakiso Region,87029,CDC,gCxsje3eneW,lxS0qhIRkQv,Butambala District,Kibibi Subcounty,Butaaka Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,26,0,0,0,0,0,2,4,6,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,,,0,0,2,1,,,0,1,11,5,,,0,0,4,2
Northern Region,Mid Northern,a9vGVj3Ftt9,Ntungamo District,Ntungamo Subcounty,Butaare Health Centre III,TASO Ankole Acholi,81998,USAID,XOktLcaVfHA,a9vGVj3Ftt9,Ntungamo District,Ntungamo Subcounty,Butaare Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,112,0,0,0,1,1,0,3,13,16,7,8,10,6,0,4,0,0,0,1,1,1,0,0,4,3,11,8,3,5,2,2,2,0,0,0,0,0,,,0,1,6,3,,,2,2,40,16,,,0,0,21,21
Central Region,Kampala,KssVUerFkyV,Kampala District,Nakawa Division,Butabika National Referral Hospital,ROM Kampala Region,87040,CDC,WByUZgx5FWB,KssVUerFkyV,Kampala District,Nakawa Division,Butabika National Referral Hospital,ROM_Kampala Region,87040,CDC,DSD,FY2025Q1,1529,0,0,3,2,7,12,35,74,147,154,160,150,115,65,44,27,0,0,2,4,5,1,6,21,45,88,70,105,80,61,26,20,0,0,0,0,0,,,2,1,65,42,,,10,10,586,295,,,0,0,332,186
Eastern Region,East Central,ga9sLsbCiMo,Jinja District,Butagaya Subcounty,Butagaya Health Centre III,MJAP East Central,82000,USAID,vIgVbduZF3O,ga9sLsbCiMo,Jinja District,Namagera Town Council,Butagaya Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,350,0,0,2,5,10,10,23,22,33,33,29,15,21,20,13,12,0,0,2,7,3,3,0,9,11,14,9,10,14,7,5,8,0,0,0,0,0,,,4,3,30,5,,,12,9,101,14,,,1,0,100,71
Central Region,Central 2,,,,,,,,,RxuR3BaSwxg,Nakaseke District,Butalangu Town Council,Butalangu Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Eastern Region,Mid Eastern,Tj9XBHhCMQH,Butaleja District,Butaleja Town Council,Butaleja Health Centre III,Baylor Eastern Region,82001,USAID,bpagwQfj3En,Tj9XBHhCMQH,Butaleja District,Butaleja Town Council,Butaleja Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,189,0,1,3,2,2,2,11,18,27,17,12,12,14,7,3,9,0,0,2,1,3,1,0,1,2,8,9,7,9,2,2,2,0,0,0,0,0,,,2,0,15,5,,,3,2,45,6,,,3,4,72,32
Western Region,South Western,ktaPwuDxHca,Kabale District,Butanda Subcounty,Butanda Health Centre III,JCRC Kigezi Lango,81997,USAID,aIj6Tjr7JkX,ktaPwuDxHca,Kabale District,Butanda Subcounty,Butanda Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,108,0,0,0,1,3,1,1,2,8,14,11,5,8,3,5,6,0,0,1,2,2,2,0,4,2,4,9,5,4,3,2,0,0,0,0,0,0,,,0,0,0,1,,,4,5,15,6,,,0,0,49,28
Eastern Region,Mid Eastern,PX7XHOUnYJY,Sironko District,Elgon Subcounty,Butandiga Health Centre III,Baylor Eastern Region,82001,USAID,HVhALXExVgZ,PX7XHOUnYJY,Sironko District,Elgon Subcounty,Butandiga Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,54,0,0,0,0,1,1,1,5,4,6,6,3,3,2,2,5,0,0,0,1,0,0,2,1,3,4,0,1,1,1,1,0,0,0,0,0,0,,,0,0,3,1,,,1,1,33,13,,,0,0,2,0
Eastern Region,East Central,nWJKeP8N21c,Kamuli District,Butansi Subcounty,Butansi Health Centre III,MJAP East Central,82000,USAID,RvAVFcHaW75,nWJKeP8N21c,Kamuli District,Butansi Subcounty,Butansi Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,346,0,0,2,3,5,3,21,46,38,33,23,24,14,6,6,7,0,0,0,5,5,3,10,8,11,11,21,22,6,4,5,4,0,0,0,0,0,,,0,0,0,0,,,10,10,61,51,,,0,0,160,54
Western Region,South Western,RndGp2J7TuE,Buhweju District,Kashenyi-Kajani Town Council,Butare Health Centre III,UPMB LSD,81995,USAID,GHQkKjhkMb1,RndGp2J7TuE,Buhweju District,Kashenyi-Kajani Town Council,Butare Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,320,0,0,4,3,1,12,37,44,40,18,10,11,10,4,4,4,0,0,1,1,1,2,11,23,25,21,10,10,8,2,2,1,0,0,0,0,0,,,0,0,29,13,,,5,1,61,46,,,3,2,104,56
Central Region,Central 2,NVzyUPHcrEd,Mubende District,Kigando Subcounty,Butawata Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,rJTMT0CToou,NVzyUPHcrEd,Mubende District,Kigando Subcounty,Butawata Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,466,0,0,3,4,7,11,32,52,47,64,23,20,21,9,7,13,0,0,3,5,3,1,2,10,20,27,19,19,18,12,8,6,0,0,0,0,0,,,4,2,18,4,,,9,7,171,89,,,1,2,110,49
Eastern Region,East Central,aJgUSQQuIsM,Busia District,Buteba Subcounty,Buteba Health Centre III,MJAP East Central,82000,USAID,TR6A0ulAqA4,aJgUSQQuIsM,Busia District,Buteba Subcounty,Buteba Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,304,0,0,1,5,4,5,13,18,33,34,33,19,16,9,10,11,0,0,1,1,3,2,2,4,11,7,16,13,20,5,6,2,0,0,0,0,0,,,2,3,24,6,,,5,1,37,18,,,3,1,140,64
Eastern Region,Mid Eastern,xRyghoPrl27,Butebo District,Butebo Town Council,Butebo Health Centre IV,Baylor Eastern Region,82001,USAID,Jzi1O200mUB,xRyghoPrl27,Butebo District,Butebo Town Council,Butebo Health Centre IV,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,479,0,1,1,1,4,13,17,15,24,40,38,33,52,25,27,21,0,0,1,3,8,3,5,3,7,14,24,26,23,19,18,13,0,0,0,0,0,,,0,0,2,2,,,5,12,136,61,,,2,0,167,92
Western Region,Mid Western,VyKflstsoTt,Hoima District,Buhanika Subcounty,Butema Health Centre III,Baylor Hoima Region,81977,CDC,JYwplZ7bq2f,VyKflstsoTt,Hoima District,Buhanika Subcounty,Butema Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,1198,0,0,5,7,8,26,81,153,165,112,85,64,52,23,8,13,0,0,6,7,8,8,8,33,61,67,68,52,34,18,12,14,0,0,0,0,0,,,4,7,163,50,,,16,13,373,212,,,0,1,246,113
Central Region,Central 2,JHtjwrjBlm4,Kyankwanzi District,Butemba Town Council,Butemba Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,R2Cdrrj3ifu,JHtjwrjBlm4,Kyankwanzi District,Butemba Town Council,Butemba Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,1301,0,0,2,10,13,21,77,110,151,128,111,82,57,31,26,27,0,1,4,10,24,9,6,17,52,70,70,55,56,31,22,28,0,0,0,0,0,,,0,2,101,10,,,22,34,496,262,,,3,3,224,144
Central Region,Central 1,S79Lcu8O003,Masaka City,Nyendo-Mukungwe Division,Butende Health Centre III,UEC,81974,CDC,NkLpCTWjbXu,S79Lcu8O003,Masaka City,Nyendo-Mukungwe Division,Butende Health Centre III,UEC,81974,CDC,DSD,FY2025Q1,210,0,0,1,0,4,0,10,21,32,26,25,8,10,4,6,6,0,0,0,0,3,3,2,0,12,5,13,7,5,2,3,2,0,0,0,0,0,,,4,3,30,10,,,1,0,78,31,,,0,0,40,13
Central Region,Central 1,gBVBGJ2p9b3,Bukomansimbi District,Butenga Town Council,Butenga Health Centre IV,IDI Masaka Wakiso Region,87029,CDC,PTMmY6oz61Q,gBVBGJ2p9b3,Bukomansimbi District,Butenga Town Council,Butenga Health Centre IV,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,1541,0,1,4,6,17,22,48,129,155,164,141,128,77,42,30,38,0,0,1,10,19,16,10,26,53,65,87,89,66,38,33,26,0,0,0,0,0,,,7,2,160,38,,,19,28,455,276,,,2,0,359,195
Eastern Region,Mid Eastern,aURmSknLg9S,Sironko District,Buteza Subcounty,Buteza Health Centre III,Baylor Eastern Region,82001,USAID,BV4Bet6SCIH,aURmSknLg9S,Sironko District,Buteza Subcounty,Buteza Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,160,0,0,1,1,6,1,7,13,18,20,11,14,12,9,7,1,0,0,1,4,2,2,1,0,7,5,3,4,6,1,0,3,0,0,0,0,0,,,1,1,10,4,,,7,6,54,6,,,0,0,49,22
Western Region,Mid Western,GnAcwCmEkxS,Buliisa District,Butiaba Town Council,Butiaba Health Centre III,Baylor Hoima Region,81977,CDC,l9NYYuL62qy,GnAcwCmEkxS,Buliisa District,Butiaba Town Council,Butiaba Health Centre III,Baylor_Hoima Region,81977,CDC,DSD,FY2025Q1,462,0,0,0,9,5,5,23,51,59,51,47,34,16,6,2,2,0,0,0,4,5,3,0,9,18,28,37,20,8,7,6,7,0,0,0,0,0,,,2,1,31,13,,,12,8,165,83,,,0,0,100,47
Western Region,Mid Western,XRMXI2fhgoK,Kyenjojo District,Butiiti Town Council,Butiiti Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,WdYtSJZSKlc,XRMXI2fhgoK,Kyenjojo District,Butiiti Town Council,Butiiti Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,1377,0,0,5,3,17,28,76,127,156,156,123,71,58,41,14,15,0,1,0,2,9,9,10,36,47,76,78,85,63,35,15,21,0,0,0,0,0,,,10,5,59,22,,,14,7,529,285,,,1,0,277,168
Eastern Region,Mid Eastern,JHUDOhEfQ9t,Manafwa District,Butiru Subcounty,Butiru Chrisco (UCMB) Health Centre III,UPMB LSD,81995,USAID,j2lFXn1Wx86,JHUDOhEfQ9t,Manafwa District,Butiru Subcounty,Butiru Chrisco (UCMB) Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,190,0,0,1,3,3,3,4,6,16,18,23,12,21,6,9,15,0,0,1,3,2,3,0,2,4,1,7,8,9,2,1,7,0,0,0,0,0,,,1,1,19,7,,,6,5,49,13,,,0,1,65,24
Eastern Region,Mid Eastern,Wsm1yq3s0Lw,Manafwa District,Butiru Subcounty,Butiru Health Centre III,Baylor Eastern Region,82001,USAID,Kqz9x4igxpP,Wsm1yq3s0Lw,Manafwa District,Butiru Subcounty,Butiru Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,167,0,0,0,0,3,4,8,14,13,12,15,16,16,9,5,7,0,0,0,2,1,1,1,2,5,2,5,7,6,5,5,3,0,0,0,0,0,,,2,3,35,12,,,1,0,39,11,,,0,0,45,19
Western Region,South Western,aRwFP1c5PuU,Kanungu District,Butogota Town Council,Butogota Heath Centre II,UPMB LSD,81995,USAID,WQLmmGdzMtH,aRwFP1c5PuU,Kanungu District,Butogota Town Council,Butogota Heath Centre II,UPMB_LSD,81995,USAID,DSD,FY2025Q1,63,0,1,1,0,0,0,5,13,11,7,5,4,2,1,0,1,0,0,0,0,0,0,0,2,2,1,3,2,1,1,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,37,8,,,0,0,12,4
Northern Region,Mid Northern,,,,,,,,,hBCupqHozKG,Rubirizi District,Magambo Subcounty,Butoha Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,22,0,0,0,0,0,0,2,3,3,1,0,1,2,,,,0,0,0,0,0,0,1,2,2,0,0,1,4,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Central Region,Central 2,QGlZ7LIOS00,Mubende District,Butoloogo Subcounty,Butoloogo Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,LFBKaaEPw09,QGlZ7LIOS00,Mubende District,Butoloogo Subcounty,Butoloogo Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,250,0,1,3,4,1,7,15,26,22,38,19,7,9,4,6,2,0,0,4,4,1,1,4,8,7,21,14,10,0,5,5,2,0,0,0,0,0,,,5,4,13,5,,,3,5,89,43,,,1,0,53,29
Central Region,Central 1,Co0DLFVgmGz,Mpigi District,Kammengo Subcounty,Butoolo Health Centre III,IDI Masaka Wakiso Region,87029,CDC,HjmqulZFuHE,Co0DLFVgmGz,Mpigi District,Kammengo Subcounty,Butoolo Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,846,0,1,3,3,3,14,24,80,78,90,76,66,53,42,18,22,0,0,1,3,13,13,7,12,15,33,39,47,31,26,22,11,0,0,0,0,0,,,6,4,101,41,,,4,13,333,151,,,0,0,129,64
Western Region,Mid Western,sLg8XDLt89n,Kyenjojo District,Butunduzi Town Council,Butunduzi Health Centre III,Baylor Fort Portal Mubende Region,87039,CDC,Yd8Gw88GkRG,sLg8XDLt89n,Kyenjojo District,Butunduzi Town Council,Butunduzi Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,900,0,0,1,4,9,10,28,75,98,112,89,61,39,27,15,17,0,0,2,6,7,7,3,15,35,51,57,42,32,23,15,20,0,0,0,0,0,,,3,4,40,9,,,11,11,337,170,,,0,0,194,121
Central Region,Central 2,NGteaaEKAMh,Luwero District,Butuntumula Subcounty,Butuntumula Health Centre III,WALTER REED-MUWRP,160699,DOD,qwvr2aWTESO,NGteaaEKAMh,Luwero District,Butuntumula Subcounty,Butuntumula Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,283,0,0,2,4,6,1,16,42,45,34,20,19,6,5,0,3,0,0,1,4,3,2,1,4,12,13,16,6,9,7,1,1,0,0,0,0,0,,,7,5,42,12,,,5,3,87,35,,,0,0,62,25
Central Region,Central 2,lIIOj56WBOF,Luwero District,Butuntumula Subcounty,Butuntumula Prisons Health Centre II,UPS Follow-on,84974,CDC,dLwXEHHuSef,lIIOj56WBOF,Luwero District,Butuntumula Subcounty,Butuntumula Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,5,4,3,2,2,0,0,0,0,34,0,0,0,,,0,0,2,32,,,0,0,0,0,,,0,0,0,0
Central Region,Central 2,ewMHVf7tjwq,Buvuma District,Buvuma Town Council,Buvuma Health Centre IV,WALTER REED-MUWRP,160699,DOD,QQNYltKfmYQ,ewMHVf7tjwq,Buvuma District,Buvuma Town Council,Buvuma Health Centre IV,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,906,0,2,4,8,8,8,17,48,82,102,85,67,47,32,13,12,0,1,1,5,14,7,4,15,23,53,73,62,58,30,10,15,0,0,0,0,0,,,3,1,28,13,,,17,18,202,126,,,2,2,283,211
Eastern Region,Mid Eastern,tZ2r1YHQh04,Namisindwa District,Buwabwala Subcounty,Buwabwala Health Centre III,Baylor Eastern Region,82001,USAID,I80YvI13C08,tZ2r1YHQh04,Namisindwa District,Buwabwala Subcounty,Buwabwala Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,114,0,0,0,1,1,4,7,9,7,6,12,10,10,7,4,4,0,0,1,0,2,0,0,1,2,6,3,3,3,4,2,5,0,0,0,0,0,,,0,0,9,2,,,2,2,51,17,,,0,1,20,10
Central Region,Central 2,imFgSY3OUvZ,Buikwe District,Nyenga Division,Buwagajjo Health Centre III,WALTER REED-MUWRP,160699,DOD,hoVNMMILMJz,imFgSY3OUvZ,Buikwe District,Nyenga Division,Buwagajjo Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,318,0,1,3,2,3,5,11,29,35,26,31,21,17,8,10,6,0,0,0,2,2,4,0,8,5,18,24,12,16,10,3,6,0,0,0,0,0,,,3,2,36,12,,,5,2,115,59,,,1,0,48,35
Eastern Region,East Central,uja4Tx4IR8w,Mayuge District,Buwaaya Subcounty,Buwaiswa Health Centre III,MJAP East Central,82000,USAID,jFlSv0kh6z6,uja4Tx4IR8w,Mayuge District,Buwaaya Subcounty,Buwaiswa Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,331,0,1,0,2,7,3,16,18,32,49,29,19,17,5,12,9,0,0,0,3,2,1,1,10,12,13,13,21,13,11,5,7,0,0,0,0,0,,,0,0,33,8,,,10,5,66,34,,,0,0,110,65
Eastern Region,Mid Eastern,GpKYBJWFJJ6,Sironko District,Buwalasi Subcounty,Buwalasi Health Centre III,Baylor Eastern Region,82001,USAID,iQuEJtF2oDP,GpKYBJWFJJ6,Sironko District,Buwalasi Subcounty,Buwalasi Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,223,0,0,1,6,2,3,8,23,26,24,28,16,9,7,6,2,0,0,2,3,5,3,0,2,3,8,8,12,5,5,4,2,0,0,0,0,0,,,5,5,19,4,,,3,4,95,40,,,1,1,38,8
Central Region,Central 1,Vi3ibjRtMzU,Mpigi District,Buwama Town Council,Buwama Health Centre III,IDI Masaka Wakiso Region,87029,CDC,Faz1Wonrz3Q,Vi3ibjRtMzU,Mpigi District,Buwama Town Council,Buwama Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,2213,0,0,4,10,24,28,102,208,261,248,171,153,111,67,50,47,0,1,7,13,29,19,21,29,78,109,96,108,85,70,32,32,0,0,0,0,0,,,4,8,130,53,,,34,41,886,392,,,0,1,430,234
Central Region,Central 1,aq5a4s4nH5n,Wakiso District,Gombe Division,Buwambo Health Centre IV,IDI Masaka Wakiso Region,87029,CDC,i2fpoI1tMG5,aq5a4s4nH5n,Wakiso District,Gombe Division,Buwambo Health Centre IV,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,1039,0,0,2,2,12,18,47,127,155,126,84,51,37,31,18,21,0,0,6,8,7,5,6,22,41,54,48,45,29,19,8,10,0,0,0,0,0,,,5,9,113,24,,,11,11,477,212,,,0,1,125,51
Eastern Region,Mid Eastern,YiiEgLjAdyx,Mbale District,Busano Subcounty,Buwangwa Health Centre III,Baylor Eastern Region,82001,USAID,iZjxZZ2kHH6,YiiEgLjAdyx,Mbale District,Busano Subcounty,Buwangwa Health Centre III,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,27,0,0,0,0,0,0,1,2,4,2,3,4,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,,,0,0,2,2,,,0,0,12,5,,,0,0,6,0
Eastern Region,Mid Eastern,yyYPcgZm4xP,Sironko District,Buwasa Subcounty,Buwasa Health Centre IV,Baylor Eastern Region,82001,USAID,Mh6rVU5hPKw,yyYPcgZm4xP,Sironko District,Buwasa Subcounty,Buwasa Health Centre IV,Baylor_Eastern Region,82001,USAID,DSD,FY2025Q1,539,0,0,1,1,13,10,15,23,43,36,44,49,52,40,25,16,0,0,2,3,8,8,6,5,7,12,22,25,34,13,12,14,0,0,0,0,0,,,4,7,29,14,,,11,6,238,93,,,0,0,86,51
Mid Eastern,East Central,vwA6dkN8RHb,Busia District,Buyanga Subcounty,Buwembe Health Centre III,MJAP East Central,82000,USAID,euXznUwWeWx,vwA6dkN8RHb,Busia District,Buyanga Subcounty,Buwembe Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,69,0,0,0,2,1,2,11,8,8,5,7,6,3,2,2,0,0,0,0,1,0,0,0,0,2,3,0,2,3,1,0,0,0,0,0,0,0,,,3,1,17,4,,,0,0,26,6,,,0,0,11,1
Eastern Region,East Central,XiavvWaLLRz,Jinja District,Buwenge Subcounty,Buwenge General Hospital,MJAP East Central,82000,USAID,ORNExIgcEY5,XiavvWaLLRz,Jinja District,Buwenge Subcounty,Buwenge General Hospital,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,277,0,0,5,1,2,5,21,45,35,24,18,16,10,5,3,3,0,0,1,3,1,0,4,7,18,9,7,14,8,8,2,2,0,0,0,0,0,,,4,3,47,10,,,2,1,61,24,,,2,1,77,45
Eastern Region,East Central,hYRpOD0ijAo,Jinja District,Buwenge Town Council,Buwenge Health Centre IV,MJAP East Central,82000,USAID,FrVSs6OUkk8,hYRpOD0ijAo,Jinja District,Buwenge Town Council,Buwenge Health Centre IV,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,1080,0,1,3,10,8,12,30,84,112,123,129,84,73,45,19,18,0,0,5,3,13,5,2,12,31,45,54,56,45,25,18,15,0,0,0,0,0,,,6,6,88,21,,,13,11,259,106,,,3,4,382,181
