Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
Kigezi,D5TwGK0bcWc,Kabale District,Southern Division,Ndorwa Prisons HC II,UPS,,sHzbINIg8hs,D5TwGK0bcWc,Kabale District,Southern Division,Ndorwa Prisons Health Centre II,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tooro,D76MlGzidHn,Kasese District,Hima Town Council,Hima HC III,Baylor Fort Portal_Mubende Region,,O9PVKxuTq3j,D76MlGzidHn,Kasese District,Hima Town Council,Hima HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,339,256,83,35,13,85,18,76,28,31,9,24,11,3,3,2,,,1,339,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,85,18,76,28,31,9,24,11,3,3,2,0,0,1,179,0,0,179,0,0,61,9,2,350,339,0,0,0,0,8,35,0,8,18,1,8,0,5,0
North Central,DAcqiebFOcd,Luwero District,Butuntumula Subcounty,St. Mary's Kasaala HC III,WALTER REED_MUWRP,,vYJie9vmvHX,DAcqiebFOcd,Luwero District,Butuntumula Subcounty,St. Mary's  Kasaala HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,47,35,12,,,12,3,7,1,6,3,4,2,3,1,2,1,1,1,47,0,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,3,2,2,0,0,0,0,1,0,0,0,0,6,1,5,0,3,1,2,2,3,1,2,0,1,1,13,0,0,13,0,0,0,0,42,5,47,0,0,0,0,3,6,0,0,0,0,0,0,25,0
Busoga,dBJMmXzJwYi,Mayuge District,Baitambogwe Subcounty,Baitambogwe HC III,MJAP_East Central Region,,RofuqgUlJlw,dBJMmXzJwYi,Mayuge District,Baitambogwe Subcounty,Baitambogwe HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,39,25,14,1,,7,2,7,2,7,7,3,2,,1,,,,,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,7,2,7,7,3,2,0,1,0,0,0,0,13,0,0,13,0,0,0,0,0,48,39,0,0,0,0,0,0,0,3,0,0,14,0,0,0
South Central,DFuALUpGId9,Kalungu District,Bukulula Subcounty,Bukulula HC IV,IDI_Masaka Wakiso Region,,bjeTHl5ksbC,DFuALUpGId9,Kalungu District,Bukulula Subcounty,Bukulula HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,125,60,65,5,5,13,13,10,13,14,7,6,10,9,8,2,2,1,7,125,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,13,10,13,14,7,6,10,9,8,2,2,1,7,30,0,0,30,0,0,0,0,18,108,125,0,0,0,2,2,15,0,9,2,19,2,0,21,18
Kampala,dgmy0Fjx1KZ,Kampala District,Lubaga Division,Lubaga Hospital,UEC,,M7w007qjXlu,dgmy0Fjx1KZ,Kampala District,Lubaga Division,Lubaga Hospital,UEC,81974,CDC,Oct-Dec 2024,,,90,48,42,12,2,5,2,17,17,11,10,,9,,,1,1,2,1,90,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,10,6,7,5,0,2,0,0,0,0,0,1,5,1,4,2,7,11,4,5,0,7,0,0,1,1,2,0,17,0,0,12,5,0,0,0,30,61,90,0,0,0,10,14,5,0,4,2,9,8,2,24,2
North Central,DgpugjmuhEo,Mubende District,Nabingoola Town Council,Nabingoola HC III,Baylor Fort Portal_Mubende Region,,SL9H3Dt1i8L,DgpugjmuhEo,Mubende District,Nabingoola Town Council,Nabingoola HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,100,70,30,30,,27,10,8,13,4,3,1,2,,,,2,,,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,10,8,13,4,3,1,2,0,0,0,2,0,0,37,0,0,37,0,0,0,0,7,95,97,0,0,0,0,28,26,0,0,0,2,1,0,6,0
North Central,dK6URDbvHgL,Kassanda District,Kiganda Town Council,Kiganda HC IV,Baylor Fort Portal_Mubende Region,,nYuvRdTeYoc,dK6URDbvHgL,Kassanda District,Kiganda Town Council,Kiganda HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,120,95,25,23,,33,7,21,4,7,4,5,2,2,2,4,,,6,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,33,7,21,4,7,4,5,2,2,2,4,0,0,6,58,0,0,58,0,0,0,0,48,76,92,0,0,0,1,30,8,0,0,0,5,0,0,19,2
Lango,DNDNErLjgOa,Lira City,Lira East Division,Lira Army Barracks HC III,URC_DOD_UPDF,,OELkOLxvZxB,DNDNErLjgOa,Lira City,Lira East Division,Lira Army Barracks Health Centre III,,,,Oct-Dec 2024,Site has outputs but not on DAPTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,8,0,0,31,0,0,0,0,0
South Central,DPRgzXMkh9U,Wakiso District,Kajansi Town Council,Kajjansi HC IV,IDI_Masaka Wakiso Region,,xrilvxOCD7v,DPRgzXMkh9U,Wakiso District,Kajansi Town Council,Kajjansi HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,741,391,350,46,40,147,118,89,68,59,53,30,28,14,25,4,9,2,9,741,0,78,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,9,11,6,7,8,3,4,3,2,1,1,0,1,42,36,133,109,78,62,52,45,27,24,11,23,3,8,2,8,216,1,0,215,0,0,1,0,13,751,741,0,0,0,6,188,192,0,1,0,2,5,0,6,10
Kampala,DQIjOIvoTMK,Kampala District,Makindye Division,Kiruddu NRH - MJAP (CDC) Mulago,#N/A,,M3Sw2fWmgBc,pNT8f17lJiA,Kampala District,Makindye Division,Kiruddu National Referral Hospital,ROM_Kampala Region,87040,CDC,Oct-Dec 2024,,,826,684,142,142,12,251,41,150,36,88,28,33,10,12,6,6,4,2,5,826,0,11,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,142,12,249,38,147,34,87,28,33,10,12,6,6,4,2,5,394,1,0,390,3,0,0,0,120,712,826,0,0,0,0,280,122,0,0,0,0,0,0,30,6
South Central,dQprl8P1Uae,Wakiso District,Nansana Division,Nurture Africa II Special Clinic,IDI_Masaka Wakiso Region,,UGn6PakomrH,dQprl8P1Uae,Wakiso District,Nansana Division,Nurture Africa Clinic,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,46,17,29,,,4,5,7,5,3,8,2,6,1,4,,1,,,46,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,4,3,8,2,6,1,4,0,1,0,0,34,16,3,15,0,0,0,0,40,7,46,0,0,0,0,2,7,0,0,0,4,0,0,0,0
North Central,DsaeEp9J3X4,Mityana District,Kalangaalo Subcounty,Kyantungo HC IV,Baylor Fort Portal_Mubende Region,,vXRnWzMRpaD,DsaeEp9J3X4,Mityana District,Kalangaalo Subcounty,Kyantungo HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,57,19,38,2,,1,,11,9,3,6,1,8,,7,1,6,,2,57,0,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,11,7,3,4,1,8,0,7,1,6,0,2,18,0,0,18,0,0,0,0,1,60,56,0,0,0,2,3,12,0,0,0,21,0,0,0,6
Tooro,Dt6WipQhr4Q,Fort Portal City,Fort Portal Central Division,Fort Portal Regional Referral Hospital,MoH_G2G_RRH Strategy,,mx6xo68OYXn,Dt6WipQhr4Q,Fort Portal City,Fort Portal Central Division,Fort Portal Regional Referral Hospital,MoH_G2G_RRH Strategy,87032,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tooro,DUIjxnnEApZ,Kasese District,Mpondwe-Lhubiriha Town Council,Kasanga Phc HC III,UEC,,F8VRPZn0Dhz,DUIjxnnEApZ,Kasese District,Mpondwe-Lhubiriha Town Council,Kasanga Phc HC III,UEC,81974,CDC,Oct-Dec 2024,,,49,14,35,2,2,2,4,1,3,4,8,2,3,1,5,1,4,1,6,49,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,4,1,3,4,8,2,3,1,5,0,4,1,6,3,0,0,3,0,0,0,0,0,57,49,0,0,0,0,1,4,0,48,0,0,0,0,0,0
Tooro,DVWgXBCqWXD,Kyenjojo District,Kyenjojo Town Council,Kyenjojo Hospital,Baylor Fort Portal_Mubende Region,,PWi9sMxA0u5,DVWgXBCqWXD,Kyenjojo District,Kyenjojo Town Council,Kyenjojo Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,310,196,114,38,6,69,17,44,48,23,24,8,11,10,6,3,,1,2,310,0,4,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,67,17,44,48,23,24,8,11,10,6,3,0,1,2,185,31,0,154,0,0,1,0,26,358,306,0,0,0,17,44,87,0,0,2,29,0,0,26,6
Teso,DXmJVAw33mJ,Serere District,Serere Town Council,Serere HC IV,AIC_Soroti Region,,lf8bsfXzuZP,DXmJVAw33mJ,Serere District,Serere Town Council,Serere HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,270,160,110,24,7,63,24,42,25,16,20,8,7,5,9,2,9,,9,270,0,1,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,7,63,24,42,25,16,20,8,7,5,8,2,9,0,9,83,1,0,82,0,0,0,0,7,281,272,0,0,0,9,16,11,0,55,2,3,0,0,13,43
Kampala,DYBhUQ707JF,Kampala District,Makindye Division,Wentz Medical Centre HC III,UPMB,,b5lcs3ewS20,DYBhUQ707JF,Kampala District,Makindye Division,Wentz Medical Centre HC III,UPMB,84980,CDC,Oct-Dec 2024,,,1,0,1,,,,,,,,1,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bunyoro,DyxRfkwicX2,Hoima City,Hoima West Division,Bujumbura HC III,UEC,,ZtzjXVyrRpP,DyxRfkwicX2,Hoima City,Hoima West Division,Bujumbura HC III,UEC,81974,CDC,Oct-Dec 2024,,,26,20,6,5,,5,,8,4,2,1,,,,1,,,,,26,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,36,26,0,0,0,0,0,3,0,0,1,1,0,0,0,0
Busoga,E2mdeU0lkNe,Jinja City,Jinja South Division,Walukuba HC IV,MJAP_East Central Region,,jQwDTmeHxYZ,E2mdeU0lkNe,Jinja City,Jinja South Division,Walukuba HC IV,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,13,4,9,,,1,4,,1,2,3,,1,,,,,1,,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,3,0,1,0,0,0,0,1,0,8,0,1,7,0,0,0,0,0,90,13,0,0,0,8,18,9,0,0,14,32,6,0,2,0
North Central,E49UQK1wLQ2,Luwero District,Katikamu Subcounty,Kyalugondo HC III,WALTER REED_MUWRP,,JCzH5DPpMe7,E49UQK1wLQ2,Luwero District,Katikamu Subcounty,Kyalugondo HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,53,31,22,6,,11,2,3,9,6,5,3,4,1,1,,1,1,,53,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,2,3,9,6,5,3,4,1,1,0,1,1,0,13,0,0,13,0,0,0,0,44,12,52,0,0,0,0,11,15,0,0,0,1,4,0,6,3
Kampala,e9F9XvTFIrI,Kampala District,Lubaga Division,Holy Cross Orthodox Mission Namungoona Hospital,UEC,,mfJbDl0az3K,e9F9XvTFIrI,Kampala District,Lubaga Division,Holy Cross Orthodox Mission Namungoona Hospital,UEC,81974,CDC,Oct-Dec 2024,,,17,11,6,,,2,1,2,1,5,,1,3,,,1,1,,,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,0,1,3,0,0,1,1,0,0,11,0,0,11,0,0,0,0,13,5,17,0,0,0,1,0,4,0,0,0,0,2,0,0,0
Busoga,eAfaPMGjisn,Namayingo District,Banda Town Council,Banda HC III,MJAP_East Central Region,,T4YxqIw6zxJ,eAfaPMGjisn,Namayingo District,Banda Town Council,Banda HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,1,1,0,,,,,,,1,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Central,EAr7pVCRxF3,Wakiso District,Kakiri Town Council,Kakiri HC III,IDI_Masaka Wakiso Region,,iTnzeloQPpc,EAr7pVCRxF3,Wakiso District,Kakiri Town Council,Kakiri HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,1306,611,695,112,33,332,278,119,218,41,131,6,31,1,3,,,,1,1306,0,50,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,2,10,1,4,0,2,0,0,0,0,0,0,109,30,325,260,117,208,40,127,6,29,1,3,0,0,0,1,813,321,0,492,0,0,0,0,0,1306,1306,0,0,0,0,119,373,0,0,0,1,0,0,0,0
North Central,eB1Eg8cJGne,Nakasongola District,Katuugo Town Council,Kiralamba HC III,WALTER REED_MUWRP,,pnQLkVF6Vv6,eB1Eg8cJGne,Nakasongola District,Katuugo Town Council,Kiralamba HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,1,1,0,,,,,1,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Central,Ec5yJybMqpe,Luwero District,Katikamu Subcounty,Katikamu HC III,WALTER REED_MUWRP,,xdgIknH5sfC,Ec5yJybMqpe,Luwero District,Katikamu Subcounty,Katikamu HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,180,124,56,6,5,24,9,55,26,27,7,9,3,2,3,,2,1,1,180,0,3,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,5,23,9,55,26,27,7,8,3,2,3,0,1,1,1,129,7,0,122,0,0,1,0,85,113,180,0,0,0,6,10,36,0,0,3,1,2,2,5,1
North Central,ec6ZVy4whk5,Luwero District,Zirobwe Town Council,Zirobwe HC III,WALTER REED_MUWRP,,bAXMDMoyU0m,ec6ZVy4whk5,Luwero District,Zirobwe Town Council,Zirobwe HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,65,43,22,7,,15,3,15,5,2,5,,4,2,2,,1,2,2,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,3,15,5,2,5,0,4,2,2,0,1,2,2,23,0,0,23,0,0,0,1,67,0,65,0,0,0,0,14,17,0,0,0,0,0,0,6,6
Busoga,ECSAxXG3JMh,Kamuli District,Nawanyago Subcounty,Bupadhengo HC III,MJAP_East Central Region,,O8Opve9M9Hg,ECSAxXG3JMh,Kamuli District,Nawanyago Subcounty,Bupadhengo HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,33,13,20,,,,,,3,,,,,,,,2,13,15,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,13,15,14,0,0,14,0,0,1,0,0,35,33,0,0,0,0,0,6,0,0,0,14,0,0,0,0
Tooro,efN24flmJeb,Bunyangabu District,Nyakigumba Town Council,Kisomoro HC III,Baylor Fort Portal_Mubende Region,,DAjtqM8MmeM,efN24flmJeb,Bunyangabu District,Nyakigumba Town Council,Kisomoro HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,43,5,38,,1,1,6,1,9,,9,3,11,,1,,,,1,43,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,2,2,9,0,1,0,0,0,1,0,1,0,5,0,5,0,7,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,43,43,0,0,0,0,0,1,0,0,0,25,0,0,0,0
Tooro,egswmCc8ssL,Bunyangabu District,Kibiito Town Council,Kibiito HC IV,Baylor Fort Portal_Mubende Region,,FutAKhAwVp1,egswmCc8ssL,Bunyangabu District,Kibiito Town Council,Kibiito HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,174,83,91,16,21,27,27,21,25,9,12,7,4,2,1,,1,1,,174,0,7,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,15,21,24,27,20,23,9,12,7,4,2,1,0,1,1,0,70,21,0,49,0,0,0,0,0,178,174,0,0,0,4,26,20,0,0,0,13,0,8,7,1
South Central,EJjtvQaTkx8,Masaka District,Bukakata Subcounty,Ssunga HC III,UEC,,tqVG8F9GkhF,EJjtvQaTkx8,Masaka District,Bukakata Subcounty,Ssunga HC III,UEC,81974,CDC,Oct-Dec 2024,,,1,0,1,,,,,,,,,,,,,,1,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,0,0,111,0,0,0,0,454,0,1,0,0,0,0,0,1,0,324,0,0,0,0,15,3
Busoga,EKPCmrHaBSg,Iganga District,Central Division,Iganga Hospital,MJAP_East Central Region,,wIhR11t4op4,EKPCmrHaBSg,Iganga District,Central Division,Iganga Hospital,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,14,11,3,,,2,,4,1,2,,,,1,,,1,2,1,14,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,1,0,0,1,2,1,11,0,0,11,0,0,1,0,14,23,14,0,0,0,0,0,13,0,0,0,0,0,0,9,3
Ankole,EMHl20viu7L,Sheema District,Kitagata Town Council,Kitagata Hospital,TASO_Ankole Acholi Region,,f75oIM4xPBj,EMHl20viu7L,Sheema District,Kitagata Town Council,Kitagata Hospital,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,20,15,5,1,,2,2,2,1,4,,3,,2,,1,1,,1,20,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,3,0,2,0,2,0,1,1,0,1,9,0,0,9,0,0,0,0,20,2,18,0,0,0,0,1,2,0,0,0,1,0,0,7,1
Bunyoro,EPMb6dGjqnz,Buliisa District,Biiso Town Council,Biiso HC IV,Baylor_Hoima Region,,E8aT3BS1IRT,EPMb6dGjqnz,Buliisa District,Biiso Town Council,Biiso HC IV,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,70,18,52,6,2,11,13,1,14,,8,,8,,3,,3,,1,70,0,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,4,1,8,0,3,0,6,0,1,0,1,0,1,1,1,5,9,0,6,0,5,0,2,0,2,0,2,0,0,21,1,0,20,0,0,0,2,2,84,70,0,0,0,0,2,8,0,16,1,15,1,16,0,1
North Central,eQXTs1XHYpK,Nakaseke District,Wakyato Subcounty,Wakyato HC III,Baylor Fort Portal_Mubende Region,,HDrLrNqSVch,eQXTs1XHYpK,Nakaseke District,Wakyato Subcounty,Wakyato HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,26,13,13,2,,4,3,2,5,2,1,2,3,,,1,,,1,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,2,5,2,1,2,3,0,0,1,0,0,1,11,0,0,11,0,0,0,0,0,26,26,0,0,0,0,1,6,0,0,0,0,1,0,6,1
Lango,eR77udlIWIM,Apac District,Ibuje Town Council,Alenga HC III,UPMB_LSD,,v8dMe1CZe5X,eR77udlIWIM,Apac District,Ibuje Town Council,Alenga HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,7,2,5,,,,,,2,1,,,,,,,2,1,1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,1,6,0,0,6,0,0,0,0,2,10,6,0,0,0,0,0,4,0,0,0,1,0,0,0,1
Ankole,ERNih4fCcwx,Mbarara City,Mbarara South Division,Kakoba HC III,TASO_Ankole Acholi Region,,N72AUVmXdur,ERNih4fCcwx,Mbarara City,Mbarara South Division,Kakoba HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,83,73,10,27,1,35,6,8,2,2,1,1,,,,,,,,83,0,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,0,0,1,0,0,0,0,0,0,0,0,25,0,32,3,6,2,2,0,1,0,0,0,0,0,0,0,24,0,0,24,0,0,3,0,13,88,83,0,0,0,0,42,9,0,0,0,0,0,0,1,12
Bunyoro,esxeUWbV3si,Masindi District,Central Division,Masindi Hospital,Baylor_Hoima Region,,Zvv3bROMzcs,esxeUWbV3si,Masindi District,Central Division,Masindi Hospital,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,324,221,103,42,7,104,18,52,28,14,26,7,13,,8,1,3,1,,324,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,104,18,52,28,14,26,7,13,0,8,1,3,1,0,213,0,0,213,0,0,0,0,11,330,322,0,0,0,0,6,108,0,0,0,1,0,0,13,0
Acholi,EsyH7yKQHiP,Pader District,Pader Town Council,Pader HC III,TASO_Ankole Acholi Region,,TmKC6Qez1z1,EsyH7yKQHiP,Pader District,Pader Town Council,Pader HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,164,152,12,39,,45,1,33,7,12,,9,1,7,,6,1,1,2,164,0,49,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,1,11,5,2,0,3,1,1,0,0,0,0,1,28,0,32,0,22,2,10,0,6,0,6,0,6,1,1,1,106,0,0,106,0,0,0,0,4,161,164,0,0,0,0,2,6,0,0,7,0,0,0,6,0
